id,record_type,view_id,row_id,column_id,capability_refs,need,operation,outcome,implementation_status,standing,source_refs,code_refs,test_refs,account_ref,relation,coverage,extensions,question
cap.workcell.discovery,capability,,,,[],Know which material capabilities are available here,discover; providers; status; doctor,Structured provider offers and local readiness,Observed in selected native CLI tests,agent-inference,docs/WAYFINDER.md,crates/workcell-cli/src/bin/workcell.rs,crates/workcell-cli/tests/cli.rs,workcell.html#q0/need,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""status"", ""discover"", ""providers"", ""doctor""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level commands directly return local readiness, offers, provider inventory, and baseline diagnostics.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-cli/src/bin/workcell.rs"": ""67c762429b371bf66bd699631517e22ad2db6341753d74c0fb0150cc26e43a5a""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.planning,capability,,,,[],Determine whether requested conditions can be met before allocation,plan ExecutionDemand against offers and necessity,"Feasible allocation or explicit required failure, degradation and omission",Observed required/preferred local planning; broader composition source-inspected,agent-inference,docs/ARCHITECTURE.md,crates/workcell-core/src/contract/planning.rs,crates/workcell-core/tests/planning_degradation.rs;crates/workcell-cli/tests/cli.rs,workcell.html#q1/requirements,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""plan""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level plan command parses an ExecutionDemand and returns a materialisation plan.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/contract/planning.rs"": ""543746d47369b0cf8ce27d40e186318524461acdbe01d7c34b1648c50d15006f""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.cli,capability,,,,[],Operate material worlds from human and Agent tools,Native local and remote CLI operations with structured output,Usable material operations across process boundaries,Observed local and remote CLI tests,agent-inference,docs/WAYFINDER.md,crates/workcell-cli/src/bin/workcell_entry.rs;crates/workcell-cli/src/bin/workcell.rs,crates/workcell-cli/tests/cli.rs;crates/workcell-cli/tests/remote_cli.rs,workcell.html#q1/product,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""status"", ""discover"", ""plan"", ""prepare"", ""observe"", ""expose"", ""collect"", ""release"", ""reconcile"", ""providers"", ""doctor""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""This capability is the native command surface itself.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-cli/src/bin/workcell.rs"": ""67c762429b371bf66bd699631517e22ad2db6341753d74c0fb0150cc26e43a5a"", ""crates/workcell-cli/src/bin/workcell_entry.rs"": ""20c1a9d755a8db5730f2847845ed7cd690ed32e9ece8ce9795cf888ab4c626e8""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.local-world,capability,,,,[],Begin work on an ordinary computer,"CollapsedLocalWorkcell prepares host execution, directory workspace and artifact channels",A usable local material world and durable receipt,Observed in collapsed_local and CLI tests,agent-inference,docs/DEPLOYMENT-PROFILES.md,crates/workcell-runtime/src/local.rs,crates/workcell-runtime/tests/collapsed_local.rs,workcell.html#q2/local-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""prepare""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The collapsed-local prepare path materialises the local world and persists its receipt.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-runtime/src/local.rs"": ""aaf9c45b35b345e0d6ba1147fcfabb596a657666dee656a70aefbc13f4c3d0aa""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.workspace,capability,,,,[],Work with source at the intended revision and access mode,"Directory or Git worktree workspace prepare, observe and release","Material source workspace with revision, access and dirty-state account","Observed real directory, Git and restart tests",agent-inference,docs/ARCHITECTURE.md,crates/workcell-workspace/src/lib.rs,crates/workcell-workspace/tests/directory_provider.rs;crates/workcell-workspace/tests/git_worktree_provider.rs;crates/workcell-workspace/tests/restart_recovery.rs,workcell.html#q2/local-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""prepare"", ""observe"", ""release""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""These commands operate the workspace as one binding in a material world; no workspace-only leaf command exists.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-workspace/src/lib.rs"": ""7dac059378256629975290ee4f6fcc87acec89bc385fabb6a313580162473c05""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.bindings,capability,,,,[],Inspect which resources jointly realise a demand,compose_world and BindingGraph construction,Stable material-world relation with caller and provider provenance,Source-inspected; local world construction exercised in selected tests,agent-inference,docs/ARCHITECTURE.md,crates/workcell-core/src/world/compose.rs,crates/workcell-core/tests/material_world.rs,workcell.html#q1/world,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""prepare"", ""observe""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""Preparation returns composed bindings and observation reads them; the CLI has no BindingGraph-only leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/world/compose.rs"": ""eb24ef29ffb9739d526f2903ff23e91ca8bba1f919d6fc63ddacf3a9e1a14129""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.services,capability,,,,[],Keep a process-backed service reachable and inspectable,ServiceProvider and ManagedHostServiceProvider lifecycle/readiness,Logical service endpoint with material process and health information,Source-inspected; service-specific test suite not run in this pass,agent-inference,docs/CONTROL-SERVICE-AND-AGENT-HOSTING.md,crates/workcell-runtime/src/service.rs;crates/workcell-runtime/src/host.rs,crates/workcell-runtime/tests/managed_host_service.rs;crates/workcell-runtime/tests/hosting_conformance.rs,workcell.html#q2/service-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""prepare"", ""observe"", ""release""], ""cli_exposure"": {""kind"": ""composed"", ""reason"": ""Service lifecycle is provider-composed through world operations rather than a service-only leaf command.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-runtime/src/host.rs"": ""b01293184aa8cde3e84cb3f2e70500ea5699bb17677d261e2e84335bd88715df"", ""crates/workcell-runtime/src/service.rs"": ""9055c902827d54a3b0b90703b7358ee7cdd1429264ab24774a272c2e4a2c99c3""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.observation,capability,,,,[],Know what remains usable in a prepared environment,observe existing world and provider allocations,Live binding observations and unavailable or degraded conditions,Observed local workspace/world paths; wider health cases source-inspected,agent-inference,docs/LIFECYCLE-RECONCILIATION.md,crates/workcell-core/src/world/mod.rs,crates/workcell-core/tests/lifecycle_reconciliation.rs;crates/workcell-runtime/tests/collapsed_local.rs,workcell.html#q0/experience,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""observe""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level observe command reads a prepared world from its receipt.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/world/mod.rs"": ""8ada2c91cf95ac10bb9003740ab11f8cece99a75163da8256faa10c30176ea7c""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.collection,capability,,,,[],Retain useful material outputs of an activity,collect via artifact/storage provider,Collection bundle pointing to outputs and provenance,Source-inspected; full expose_collect suite not run in this pass,agent-inference,docs/ARCHITECTURE.md,crates/workcell-artifact/src/directory.rs,crates/workcell-runtime/tests/expose_collect.rs,workcell.html#q5/return,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""collect""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level collect command collects prepared output channels.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-artifact/src/directory.rs"": ""2fead2a2a47fc096ec6db5ef445a15878567a198724699857fca4cf50c4b33a6""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
cap.workcell.release,capability,,,,[],End or retain an environment with visible consequences,release and retention disposition per binding,Released or preserved material with explicit partial outcomes,Observed local and workspace release; extended lifecycle source-inspected,agent-inference,docs/LIFECYCLE-RECONCILIATION.md,crates/workcell-core/src/world/mod.rs,crates/workcell-core/tests/lifecycle_reconciliation.rs;crates/workcell-runtime/tests/collapsed_local.rs,workcell.html#q2/recovery-journey,,,"{""basis"": ""Source-recovered capability account; original verification limits retained in Markdown."", ""cli_commands"": [""release""], ""cli_exposure"": {""kind"": ""direct"", ""reason"": ""The top-level release command releases or preserves a prepared world.""}, ""converted_from_sha256"": ""de34514a63382d808794e42728a3b1212ccd224b09b4220837c0e0e3fde0db2e"", ""maintenance"": {""change_refs"": [""codex:thread:01a07608-d2ec-7b10-9713-74c445adf8a5"", ""docs/WAYFINDER.md"", ""ticket:43"", ""reconcile:workcell-pr-60""], ""code_basis"": {""crates/workcell-core/src/world/mod.rs"": ""8ada2c91cf95ac10bb9003740ab11f8cece99a75163da8256faa10c30176ea7c""}, ""updated_at"": ""2026-09-08""}, ""last_reconciled_at"": ""2026-09-08T11:58:31.404727+00:00""}",
